w70,0,192,1.5e+02,0.14,307765,105209473,74550293,88184571,26190,22429,5.960580247962963
w71,0,12,52,0.56,133817,69480469,39476563,63393067,8771,7511,4.83408410556713
w72,0,19,69,0.41,122091,100609375,42140625,62546875,14393,10162,7.0252618864814815
w73,0,9,49,0.6,87514,21404297,21337891,11906250,8529,8062,7.021854916793981
w74,0,18,54,0.23,98956,51761719,46312500,52453125,14018,8256,6.778650197523148
w75,0,35,1.6e+02,0.16,278210,124763672,65304688,120748047,21057,29162,7.026879878865741
w76,0,34,41,0.13,78658,96130372,54730958,63377930,21378,6604,6.466785101458333
w77,0,37,91,0.67,161102,128856934,120683594,81148926,23794,11355,7.025866754664352
w78,0,49,1.3e+02,0.55,233203,156109375,100214844,153757813,31065,20908,6.940015360555556
w79,0,52,75,0.47,131919,93473145,93448243,81608887,610694,7867,7.026105070162037
w80,2367,9,67,0.67,118610,47677247,20382813,47524903,12838,15866,7.022661651354166
w81,0,25,1.2e+02,0.9,219170,96125000,96078125,28496094,33861,8905,7.058344667164352
w82,0,7,91,0.59,160915,105874024,105877930,24925782,33426,12465,7.0219821795833335
w83,0,32,56,0.67,106091,54270020,49555176,51647461,43483,6803,6.609599986643518
w84,585,14,1.4e+02,0.099,243912,92492188,44921875,92500000,22463,32042,7.021810495231481
w85,0,29,1.5e+02,0.97,269763,122125000,122125000,22951172,40561,5995,7.058282882488426
w86,0,499,92,0.44,248181,24000000,20666993,24000000,11899,51479,4.6226923114699074
w87,0,204,95,0.43,1229073,254562500,170625000,158595215,57715,19057,0.9588974620370371
w88,0,49,64,0.47,113733,100884766,70812500,78379883,33303,9800,7.025378936898148
w89,0,84,52,0.39,92440,163202637,130487305,117873536,14340,16320,7.0274970007175925
